task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
EarlyFault,mag__time__crest_factor,41,0.0461460173753055,24,0.5315163399780839,43,0.0573374181422552,36.0,0.21166659183188155,0,0,not_top10
EarlyFault,mag__time__impulse_factor,44,0.0307777925041191,22,0.559175681859406,42,0.07101246059353,36.0,0.22032197831901837,0,0,not_top10
EarlyFault,v__time__mean,45,0.0006676796979323,44,0.0177747516686239,25,0.1581343901078719,38.0,0.05885894049147603,0,0,not_top10
HealthState,h__time__mean_abs,9,0.6176355924246142,2,0.982140145006334,1,1.0,4.0,0.8665919124769826,3,0,stable_candidate
HealthState,mag__time__mean,3,0.7028792664606992,9,0.955976174775056,4,0.8257811248854166,5.333333333333333,0.8282121887070573,3,0,stable_candidate
HealthState,mag__time__mean_abs,3,0.7028792664606992,9,0.955976174775056,4,0.8257811248854166,5.333333333333333,0.8282121887070573,3,0,stable_candidate
HealthState,mag__time__std,8,0.6460268726156434,1,0.9924359098588,9,0.6490509643812553,6.0,0.7625045822852329,3,0,stable_candidate
HealthState,mag__time__rms,7,0.6963411975378241,6,0.9688176001728014,6,0.7841016161569309,6.333333333333333,0.8164201379558521,3,3,stable_candidate
HealthState,h__time__rms,11,0.6036773491918203,3,0.982036905057224,2,0.9624830237661476,5.333333333333333,0.8493990926717306,2,0,stable_candidate
HealthState,h__time__std,12,0.6032881168795842,4,0.9818580464823352,3,0.9619838591157208,6.333333333333333,0.8490433408258801,2,0,stable_candidate
HealthState,v__time__mean_abs,2,0.7079280007975945,13,0.8619428666244231,7,0.6780682266323704,7.333333333333333,0.7493130313514627,2,0,stable_candidate
HealthState,h__time__ptp,14,0.5764586668073165,5,0.9726589877650812,8,0.6573461454311491,9.0,0.7354879333345156,2,0,stable_candidate
HealthState,v__time__std,6,0.6967365974609026,12,0.877735096094283,10,0.6291185229099499,9.333333333333334,0.7345300721550453,2,0,stable_candidate
HealthState,v__time__rms,5,0.6987760698286462,11,0.8788063377930335,11,0.6284186044044702,9.0,0.7353336706753831,1,0,condition_specific
HealthState,mag__time__ptp,15,0.5646731102390341,7,0.9610966869020487,12,0.4895655069836363,11.333333333333334,0.6717784347082397,1,0,condition_specific
HealthState,v__time__ptp,13,0.599549481973568,8,0.9595190898813496,15,0.4154485172270506,12.0,0.6581723630273227,1,0,condition_specific
